  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 09:14:27	  -2.996	  -2.000	   26.17	 1017.88	   16.00	   176.9	    27.5	   -50.4	   -76.0	   191.0	   -15.0	   0.000	   1.226	    61.4	    10.0	  112810	   18.22	   18.22	    0.09	    0.08	    0.00	  18.997	  18.578	  15.947	  15.684	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 09:16:28	   6.996	  -1.005	   26.23	 1017.85	   15.88	  -130.4	     8.4	   109.2	    88.7	    26.9	    -3.7	   0.000	   1.227	    61.5	    10.0	  112989	   41.01	   41.01	    0.66	    0.69	    0.00	  18.464	  18.233	  42.169	  41.574	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 09:17:45	   1.004	   3.000	   26.35	 1017.82	   15.82	   145.9	   -22.5	   -15.7	     9.0	   163.6	    13.8	   0.000	   1.227	    61.8	    10.0	  113269	   18.22	   18.22	    0.09	    0.07	    0.00	  18.286	  18.092	  15.857	  15.524	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 09:18:56	   7.996	   3.000	  104.87	 1017.80	   15.83	   673.9	  -436.6	   177.6	   377.4	   671.2	   253.5	   0.000	   1.227	   244.7	    20.0	  225428	   24.61	   24.61	   -0.18	   -0.18	    0.00	  17.928	  17.785	  18.549	  18.158	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 09:20:00	   0.004	   3.000	  105.54	 1017.74	   15.84	  -728.0	  -646.3	   -35.4	   277.4	  -331.1	   379.8	   0.000	   1.227	   246.2	    20.0	  226130	   82.04	   82.02	    3.72	    4.07	    0.00	  17.776	  17.945	  52.299	  52.222	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 09:21:22	  -3.000	  -2.000	  418.31	 1017.71	   16.30	  -667.3	  1131.1	  -199.1	  -869.8	   689.2	  -631.8	   0.000	   1.225	   980.4	    40.0	  450322	  123.03	  123.02	   12.05	   12.21	    0.00	  19.035	  20.614	  51.656	  51.890	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 09:22:30	   7.996	  -2.000	  417.51	 1017.72	   16.46	  2630.2	   940.8	  1493.6	   972.1	  2044.1	  -554.0	   0.000	   1.224	   978.5	    40.0	  449568	   49.21	   49.21	   -1.23	   -1.17	    0.00	  21.268	  23.284	  31.642	  31.078	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 09:23:27	   7.996	   2.995	  417.73	 1017.76	   16.51	  -188.7	 -1849.8	  1304.3	  2135.0	   -88.4	  1023.9	   0.000	   1.224	   979.0	    40.0	  449605	  123.02	  123.03	   12.07	   12.59	    0.00	  21.772	  23.192	  52.959	  52.689	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 09:24:24	   0.004	   2.995	  418.91	 1017.80	   16.60	  1972.3	 -1771.6	  -653.1	   264.8	  2256.1	  1016.8	   0.000	   1.224	   981.8	    40.1	  450072	   49.21	   49.21	   -1.19	   -1.24	    0.00	  23.090	  24.683	  31.493	  30.377	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 09:25:35	   7.996	  -2.000	  417.83	 1017.87	   16.66	  2631.1	   954.5	  1498.0	   972.1	  2049.7	  -560.4	   0.000	   1.224	   979.3	    40.0	  449379	   49.21	   49.21	   -1.01	   -0.98	    0.00	  23.043	  23.694	  31.457	  30.763	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
