  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      11	 09:32:40	   1.996	  -1.995	  417.79	 1017.83	   16.60	   586.6	  1206.9	  1136.0	   413.3	   188.7	  -667.2	   0.000	   1.224	   979.2	    40.0	  449465	   98.43	   98.43	    5.84	    6.24	    0.00	  20.370	  20.426	  32.812	  32.236	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 09:33:58	   3.000	   1.995	  417.61	 1017.85	   16.69	   676.2	 -1286.4	   651.9	  1264.9	   194.3	   717.9	   0.000	   1.223	   978.7	    40.0	  449191	   98.43	   98.43	    6.34	    6.11	    0.00	  20.347	  20.796	  32.878	  32.219	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 09:36:52	   5.000	  -0.995	   26.09	 1017.96	   16.29	   159.0	     3.6	    60.9	    56.4	   153.5	    -3.9	   0.000	   1.225	    61.2	    10.0	  112501	   18.22	   18.28	    0.06	    0.07	    0.00	  20.536	  20.581	  15.023	  14.876	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 09:38:28	  -2.996	  -2.000	   26.09	 1017.95	   16.20	    19.7	     6.3	   -11.7	   -27.9	    18.1	    -1.3	   0.000	   1.226	    61.2	    10.0	  112541	   32.59	   32.59	    0.47	    0.46	    0.00	  20.012	  19.870	  30.316	  29.756	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 09:40:04	   2.996	   1.995	  418.20	 1017.94	   16.59	   679.5	 -1291.8	   649.6	  1268.2	   196.4	   716.7	   0.000	   1.224	   980.1	    40.0	  449729	   98.43	   98.42	    4.33	    3.59	    0.00	  19.361	  19.681	  52.807	  52.410	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 09:41:13	   2.004	  -1.995	  417.80	 1017.92	   16.70	   595.6	  1196.9	  1138.2	   420.1	   192.8	  -663.0	   0.000	   1.223	   979.2	    40.0	  449285	   98.41	   98.42	    4.19	    3.68	    0.00	  19.798	  20.702	  52.535	  52.438	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 09:42:14	   2.996	   1.995	  417.49	 1017.91	   16.77	   678.8	 -1283.3	   651.4	  1262.7	   196.1	   715.7	   0.000	   1.223	   978.5	    40.0	  448989	   98.45	   98.44	    4.19	    3.98	    0.00	  20.371	  21.554	  52.564	  52.246	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 09:43:47	   7.000	   3.000	  417.26	 1017.86	   16.80	  2516.6	 -1796.4	   950.4	  1831.1	  1359.7	  1003.2	   0.000	   1.223	   977.9	    40.0	  448797	   49.21	   49.21	   -1.17	   -1.18	    0.00	  20.640	  21.608	  31.973	  30.937	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 09:47:28	   8.000	   0.005	  417.44	 1017.89	   16.89	  2765.7	    18.8	  1548.8	  1460.2	  1446.7	    14.9	   0.000	   1.223	   978.3	    40.0	  448712	   49.21	   49.21	   -1.14	   -1.17	    0.00	  19.701	  19.878	  32.048	  31.320	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 09:48:57	   8.000	   0.005	  417.35	 1017.91	   16.94	  2725.9	    22.9	  1558.9	  1468.5	  1412.8	    11.7	   0.000	   1.222	   978.1	    40.0	  448577	   56.24	   56.24	   -1.04	   -1.09	    0.00	  19.447	  19.564	  38.027	  37.103	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 09:50:36	   8.000	   0.005	  417.01	 1017.91	   16.98	  2309.1	   -72.1	  1624.2	  1574.1	  1062.1	    61.5	   0.000	   1.222	   977.3	    40.0	  448311	   78.74	   78.74	    0.29	    0.20	    0.00	  19.335	  19.448	  55.736	  54.724	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 09:52:20	   2.004	  -2.005	  417.00	 1017.86	   17.07	  1941.3	  1196.5	   875.9	   225.3	  1265.3	  -684.2	   0.000	   1.222	   977.3	    40.0	  448118	   49.21	   49.21	   -1.17	   -1.15	    0.00	  19.181	  19.291	  32.113	  31.423	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 09:53:21	   2.996	   2.000	  416.94	 1017.84	   17.11	  2030.3	 -1121.5	   445.9	   989.3	  1298.9	   655.2	   0.000	   1.222	   977.2	    40.0	  447999	   49.21	   49.21	   -1.16	   -1.20	    0.00	  19.121	  19.247	  32.277	  31.259	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
