  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -2.996	  -2.000	 -0.2032	0.095025	-0.00634	 0.27727	0.083994	 -0.2079	-0.009652	-0.01387	 0.32925	 0.00371	0.094746	0.009652	-0.203236	-0.01248	 0.31383	 0.00299	    1.48	    0.14	   -2.79	   -0.25	    0.78	    0.06	   26.17	 1017.88	   16.00	   1.226	    61.4	   10.00	8.765E+4	   0.029
       2	   6.996	  -1.005	  0.8640	-0.080350	-0.01752	 0.21133	-0.185274	  0.8477	-0.016105	-0.01129	-0.00060	 0.00200	-0.080645	0.016105	0.863958	-0.00834	 0.01252	 0.00340	   -1.04	    0.23	   12.45	   -0.17	    0.05	    0.07	   26.23	 1017.85	   15.88	   1.227	    61.5	   10.01	8.779E+4	   0.029
       3	   1.004	   3.000	  0.2373	0.092841	 0.00920	 0.28997	0.088060	  0.2389	0.014043	 0.00962	 0.23024	-0.00315	0.092233	-0.014043	0.237338	 0.00728	 0.21523	-0.00332	    1.44	   -0.20	    3.52	    0.15	    0.54	   -0.07	   26.35	 1017.82	   15.82	   1.227	    61.8	   10.03	8.801E+4	   0.029
       4	   7.996	   3.000	  0.8768	0.109528	 0.05958	 0.24233	-0.016738	  0.8830	0.065227	 0.00452	 0.02157	-0.02035	0.106260	-0.065227	0.876776	-0.00902	 0.00428	-0.02118	    6.40	   -3.69	   50.28	   -0.71	    0.12	   -1.68	  104.87	 1017.80	   15.83	   1.227	   244.7	   19.97	1.752E+5	   0.059
       5	   0.004	   3.000	  0.1094	-0.120232	 0.10579	 0.27631	-0.125611	  0.1093	0.099352	 0.00468	 0.24898	-0.03079	-0.125603	-0.099352	0.109353	-0.01149	 0.26941	-0.03079	   -6.64	   -5.65	    6.72	   -0.91	    2.68	   -2.45	  105.54	 1017.74	   15.84	   1.227	   246.2	   20.03	1.757E+5	   0.059
       6	  -3.000	  -2.000	 -0.2205	-0.036249	-0.04604	 0.33451	-0.049319	 -0.2182	-0.044747	-0.00710	 0.38905	 0.01318	-0.037833	0.044747	-0.220453	-0.00050	 0.39521	 0.01282	   -6.36	   10.13	  -48.56	   -0.16	   15.47	    4.07	  418.31	 1017.71	   16.30	   1.225	   980.4	   40.01	3.499E+5	   0.117
       7	   7.996	  -2.000	  0.8777	0.102097	-0.03333	 0.20196	-0.022207	  0.8832	-0.036869	-0.00668	-0.01885	 0.01031	0.100871	0.036869	0.877740	 0.00084	-0.03526	 0.01135	   24.38	    8.33	  201.31	    0.27	   -1.01	    3.59	  417.51	 1017.72	   16.46	   1.224	   978.5	   39.98	3.493E+5	   0.117
       8	   7.996	   2.995	  0.9099	-0.009957	 0.07465	 0.17775	-0.140276	  0.8991	0.074029	 0.00184	-0.04702	-0.02073	-0.013844	-0.074029	0.909868	-0.01316	-0.04477	-0.02119	   -1.55	  -16.74	  208.69	   -4.17	   -1.37	   -6.71	  417.73	 1017.76	   16.51	   1.224	   979.0	   40.00	3.493E+5	   0.117
       9	   0.004	   2.995	  0.1311	0.074942	 0.06556	 0.29727	0.071404	  0.1311	0.069389	 0.00559	 0.26451	-0.02085	0.071414	-0.069389	0.131062	-0.00570	 0.25289	-0.02085	   18.20	  -15.74	   31.73	   -1.81	   10.05	   -6.62	  418.91	 1017.80	   16.60	   1.224	   981.8	   40.06	3.497E+5	   0.117
      10	   7.996	  -2.000	  0.8789	0.102068	-0.03392	 0.20396	-0.022414	  0.8844	-0.037461	-0.00656	-0.01712	 0.01045	0.100822	0.037461	0.878870	 0.00108	-0.03353	 0.01147	   24.39	    8.47	  201.73	    0.34	   -0.95	    3.63	  417.83	 1017.87	   16.66	   1.224	   979.3	   40.01	3.492E+5	   0.117
