  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      11	   1.996	  -1.995	  0.4309	0.016972	-0.04783	 0.00867	0.000278	  0.4312	-0.048387	-0.00883	-0.09913	 0.01330	0.015297	0.048387	0.430908	-0.00049	-0.10162	 0.01362	    5.30	   10.94	   99.68	   -0.16	   -3.28	    4.31	  417.79	 1017.83	   16.60	   1.224	   979.2	   40.00	3.492E+5	   0.117
      12	   3.000	   1.995	  0.5296	0.021988	 0.05074	 0.00304	-0.007538	  0.5299	0.051476	 0.00163	-0.12945	-0.01457	0.020209	-0.051476	0.529615	-0.00751	-0.13274	-0.01468	    6.34	  -11.64	  122.27	   -2.38	   -4.47	   -4.65	  417.61	 1017.85	   16.69	   1.223	   978.7	   40.00	3.490E+5	   0.117
      13	   5.000	  -0.995	  0.7496	0.097710	 0.00046	 0.04653	0.032000	  0.7553	-0.001239	-0.00516	-0.14228	 0.00039	0.097703	0.001239	0.749589	-0.00491	-0.15818	 0.00084	    1.49	    0.02	   10.77	   -0.10	   -0.34	    0.02	   26.09	 1017.96	   16.29	   1.225	    61.2	    9.99	8.741E+4	   0.029
      14	  -2.996	  -2.000	 -0.1280	-0.007359	 0.00210	-0.02637	-0.013963	 -0.1275	0.002356	-0.01327	 0.00550	-0.00081	-0.007282	-0.002356	-0.128024	-0.01359	 0.00668	-0.00151	    0.04	   -0.03	   -1.72	   -0.27	    0.06	   -0.03	   26.09	 1017.95	   16.20	   1.226	    61.2	    9.99	8.744E+4	   0.029
      15	   2.996	   1.995	  0.5294	0.022090	 0.05111	 0.00309	-0.007398	  0.5297	0.051849	 0.00165	-0.12933	-0.01453	0.020297	-0.051849	0.529369	-0.00755	-0.13263	-0.01463	    6.37	  -11.74	  122.39	   -2.39	   -4.48	   -4.64	  418.20	 1017.94	   16.59	   1.224	   980.1	   40.02	3.494E+5	   0.117
      16	   2.004	  -1.995	  0.4338	0.017333	-0.04734	 0.00847	0.000496	  0.4341	-0.047912	-0.00888	-0.10006	 0.01321	0.015675	0.047912	0.433813	-0.00061	-0.10261	 0.01353	    5.39	   10.84	  100.34	   -0.19	   -3.32	    4.29	  417.80	 1017.92	   16.70	   1.223	   979.2	   40.01	3.491E+5	   0.117
      17	   2.996	   1.995	  0.5293	0.022093	 0.05065	 0.00296	-0.007375	  0.5296	0.051392	 0.00160	-0.12945	-0.01453	0.020316	-0.051392	0.529276	-0.00752	-0.13275	-0.01464	    6.37	  -11.62	  122.16	   -2.38	   -4.47	   -4.63	  417.49	 1017.91	   16.77	   1.223	   978.5	   40.00	3.489E+5	   0.117
      18	   7.000	   3.000	  0.8900	0.099670	 0.06677	 0.00603	-0.013135	  0.8950	0.071896	 0.00488	-0.21773	-0.01984	0.096039	-0.071896	0.889962	-0.00931	-0.23335	-0.02059	   23.32	  -16.24	  203.86	   -2.94	   -8.37	   -6.51	  417.26	 1017.86	   16.80	   1.223	   977.9	   39.99	3.487E+5	   0.117
      19	   8.000	   0.005	  0.9605	0.106408	-0.00282	-0.01902	-0.028307	  0.9660	-0.002814	-0.00292	-0.26051	-0.00078	0.106408	0.002814	0.960523	-0.00255	-0.27782	-0.00038	   25.63	    0.64	  219.99	   -0.81	  -10.06	   -0.12	  417.44	 1017.89	   16.89	   1.223	   978.3	   40.01	3.486E+5	   0.117
      20	   8.000	   0.005	  0.9620	0.104809	-0.00293	-0.02044	-0.030102	  0.9673	-0.002926	-0.00295	-0.26225	-0.00072	0.104809	0.002926	0.962043	-0.00255	-0.27931	-0.00031	   25.26	    0.66	  220.28	   -0.81	  -10.11	   -0.10	  417.35	 1017.91	   16.94	   1.222	   978.1	   40.00	3.485E+5	   0.117
      21	   8.000	   0.005	  0.9711	0.087916	 0.00106	-0.03544	-0.048093	  0.9739	0.001069	-0.00306	-0.27892	-0.00175	0.087916	-0.001069	0.971106	-0.00345	-0.29322	-0.00134	   21.43	   -0.24	  222.15	   -1.09	  -10.62	   -0.42	  417.01	 1017.91	   16.98	   1.222	   977.3	   39.99	3.483E+5	   0.117
      22	   2.004	  -2.005	  0.4272	0.072153	-0.04435	 0.03961	0.055574	  0.4294	-0.046845	-0.00625	-0.06775	 0.01376	0.070558	0.046845	0.427243	 0.00185	-0.07923	 0.01398	   17.77	   10.58	   98.67	    0.59	   -2.44	    4.42	  417.00	 1017.86	   17.07	   1.222	   977.3	   40.00	3.482E+5	   0.117
      23	   2.996	   2.000	  0.5199	0.076901	 0.04065	 0.04255	0.048157	  0.5232	0.043311	 0.00275	-0.08824	-0.01325	0.075436	-0.043311	0.519937	-0.00500	-0.10051	-0.01341	   18.80	   -9.78	  119.89	   -1.58	   -3.27	   -4.24	  416.94	 1017.84	   17.11	   1.222	   977.2	   40.00	3.481E+5	   0.117
