  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 08:53:42	   0.002	   0.000	 1017.79	   16.60	     3.3	    -0.1	     0.2	     0.0	     0.0	     0.0
       0	 08:55:20	  -3.000	  -1.995	 1017.83	   16.58	    24.0	    14.8	    -1.0	    -4.7	     9.1	    -9.1
       0	 08:56:08	   6.996	  -1.005	 1017.85	   16.56	   -17.1	   -14.0	   -21.2	   -16.1	   107.7	     6.6
       0	 08:56:56	   1.004	   2.995	 1017.85	   16.56	   -10.3	    -2.1	    -1.4	     1.0	     5.1	     3.7
       0	 08:57:25	   7.996	   3.000	 1017.85	   16.56	   -22.3	    -7.2	   -28.0	   -21.1	   142.6	     6.5
       0	 08:57:58	  -0.996	   3.000	 1017.86	   16.56	     5.5	     7.2	    -2.7	    -1.3	     4.3	    -1.7
       0	 09:00:12	   7.996	  -2.000	 1017.87	   16.54	    -0.7	     2.9	   -28.0	   -24.0	   143.0	    -3.0
       0	 09:01:14	   0.004	   2.995	 1017.87	   16.54	    -6.2	    -1.9	    -1.5	     1.0	     1.3	     4.1
       0	 09:01:52	   1.996	  -2.000	 1017.88	   16.52	     9.1	    10.2	    -2.4	    -1.8	    11.6	    -6.7
       0	 09:02:24	   3.000	   1.995	 1017.88	   16.52	   -14.4	    -7.6	    -5.8	    -0.8	    24.8	     7.0
       0	 09:02:57	   5.000	  -0.995	 1017.87	   16.52	    -2.6	     0.5	   -11.5	    -8.8	    59.4	    -1.3
       0	 09:03:32	   7.000	   2.995	 1017.86	   16.52	   -19.7	    -8.7	   -23.5	   -15.3	   112.7	     7.6
       0	 09:04:12	  -1.996	   1.005	 1017.85	   16.52	    13.2	    10.3	    -1.5	    -3.2	     4.8	    -5.1
       0	 09:04:51	   5.996	   2.000	 1017.84	   16.52	   -17.7	    -7.0	   -16.8	   -11.0	    83.0	     6.0
       0	 09:05:31	  -2.996	   1.000	 1017.85	   16.50	    15.9	    11.9	    -3.4	    -5.2	    10.6	    -5.9
       0	 09:06:23	   5.996	  -2.000	 1017.86	   16.50	     0.9	     4.4	   -16.2	   -13.3	    82.9	    -4.1
